elapsed_s,produced,acked,send_rejects,delivery_errors,consumed,duplicates,reordered,open_gaps,parse_errors,win_p50_us,win_p99_us,win_max_us,rss_mib,producer_retries,producer_lib_errors,rebalances,consumer_restarts,wedges
1330,1330800,1330800,0,0,1336758,6006,2903,39,0,11974,17290,23914,13.4,0,0,5,1,0
1340,1340800,1340800,0,0,1346733,6006,2903,39,0,11652,16805,17353,13.4,0,0,5,1,0
1350,1350850,1350800,0,0,1356751,6006,2903,39,0,11756,17040,17821,13.4,0,0,5,1,0
1360,1360850,1360800,0,0,1366751,6006,2903,39,0,12121,19214,23856,13.3,0,0,5,1,0
1370,1370850,1370850,0,0,1376809,6006,2903,39,0,12098,19476,29787,13.1,0,0,5,1,0
1380,1380850,1380850,0,0,1386808,6006,2903,39,0,12297,17518,24380,13.1,0,0,5,1,0
1390,1390850,1390850,0,0,1396784,6006,2903,39,0,11790,17186,17410,12.8,0,0,5,1,0
1400,1400850,1400850,0,0,1406800,6006,2903,39,0,12017,17665,26966,12.8,0,0,5,1,0
1410,1410850,1410850,0,0,1416775,6006,2903,39,0,11849,17167,19586,12.4,0,0,5,1,0
1420,1420850,1420850,0,0,1426792,6006,2903,39,0,11255,17249,25201,12.4,0,0,5,1,0
1430,1430900,1430850,0,0,1436808,6006,2903,39,0,12264,17259,18622,12.4,0,0,5,1,0
1440,1440900,1440850,0,0,1446792,6006,2903,39,0,11751,16581,18792,12.4,0,0,5,1,0
1450,1450900,1450850,0,0,1456825,6006,2903,39,0,12101,16191,17434,12.2,0,0,5,1,0
1460,1460900,1460900,0,0,1466843,6006,2903,39,0,12145,17201,19420,12.3,0,0,5,1,0
1470,1470900,1470900,0,0,1476850,6006,2903,39,0,11806,16869,17044,12.3,0,0,5,1,0
1480,1480900,1480900,0,0,1486859,6006,2903,39,0,11683,17152,19838,12.3,0,0,5,1,0
1490,1490950,1490900,0,0,1496859,6006,2903,39,0,12096,16801,29522,12.3,0,0,5,1,0
1500,1500950,1500900,0,0,1506842,6006,2903,39,0,12247,19410,26504,12.0,0,0,5,1,0
1510,1510950,1510950,0,0,1516909,6006,2903,39,0,11680,21108,25718,12.0,0,0,5,1,0
1520,1520950,1520950,0,0,1526883,6006,2903,39,0,11962,18420,18912,12.0,0,0,5,1,0
1530,1530950,1530950,0,0,1536884,6006,2903,39,0,12109,17562,28709,12.0,0,0,5,1,0
1541,1540950,1540950,0,0,1546909,6006,2903,39,0,12016,17443,18424,12.0,0,0,5,1,0
1551,1550950,1550950,0,0,1556900,6006,2903,39,0,11496,17799,24513,12.1,0,0,5,1,0
1561,1561000,1560950,0,0,1568053,7142,3756,39,0,13010,1709703,1913758,13.2,0,0,5,1,0
1571,1571000,1570950,0,0,1578053,7142,3756,39,0,12719,19044,20565,13.2,0,0,5,1,0
1581,1581000,1580950,0,0,1588053,7142,3756,39,0,12282,19262,26187,13.2,0,0,5,1,0
1591,1591000,1591000,0,0,1598103,7142,3756,39,0,12278,18610,27496,13.2,0,0,5,1,0
1601,1601000,1601000,0,0,1608103,7142,3756,39,0,12258,18947,28547,13.2,0,0,5,1,0
1611,1611000,1611000,0,0,1618103,7142,3756,39,0,12312,17984,21095,13.2,0,0,5,1,0
1621,1621000,1621000,0,0,1628103,7142,3756,39,0,12209,19950,25303,13.2,0,0,5,1,0
1631,1631000,1631000,0,0,1638103,7142,3756,39,0,12083,17551,19555,13.2,0,0,5,1,0
1641,1641050,1641000,0,0,1648103,7142,3756,39,0,12213,18730,25528,13.2,0,0,5,1,0
1651,1651050,1651000,0,0,1658103,7142,3756,39,0,12853,17826,19518,13.2,0,0,5,1,0
1661,1661050,1661050,0,0,1668103,7142,3756,39,0,12383,20271,25138,13.2,0,0,5,1,0
1671,1671050,1671050,0,0,1678153,7142,3756,39,0,12772,18083,22387,13.2,0,0,5,1,0
1681,1681050,1681050,0,0,1688153,7142,3756,39,0,12415,18338,19910,13.2,0,0,5,1,0
1691,1691050,1691050,0,0,1698153,7142,3756,39,0,12191,18908,25672,13.2,0,0,5,1,0
